Date;Close;;;K1;;K2;;K3;;K4;;K5
09/04/2014;16800;;09/04/2014;16800;29/06/2015;12000;03/10/2016;10400;07/12/2017;9250;31/01/2019;12675
10/04/2014;15675;;10/04/2014;15675;30/06/2015;12000;04/10/2016;10675;08/12/2017;9150;01/02/2019;12725
11/04/2014;15325;;11/04/2014;15325;01/07/2015;12000;05/10/2016;10500;11/12/2017;9375;04/02/2019;12250
14/04/2014;15925;;14/04/2014;15925;02/07/2015;12350;06/10/2016;10450;12/12/2017;9600;05/02/2019;12250
15/04/2014;15925;;15/04/2014;15925;03/07/2015;12250;07/10/2016;10400;13/12/2017;9725;06/02/2019;12900
16/04/2014;15950;;16/04/2014;15950;06/07/2015;11900;10/10/2016;10300;14/12/2017;9950;07/02/2019;12800
17/04/2014;15825;;17/04/2014;15825;07/07/2015;11625;11/10/2016;10000;15/12/2017;9850;08/02/2019;12500
21/04/2014;15775;;21/04/2014;15775;08/07/2015;11525;12/10/2016;10050;18/12/2017;9700;11/02/2019;12475
22/04/2014;15700;;22/04/2014;15700;09/07/2015;11300;13/10/2016;10075;19/12/2017;9850;12/02/2019;12300
23/04/2014;15700;;23/04/2014;15700;10/07/2015;11200;14/10/2016;10075;20/12/2017;9550;13/02/2019;12675
24/04/2014;15525;;24/04/2014;15525;13/07/2015;11300;17/10/2016;9900;21/12/2017;9800;14/02/2019;12400
25/04/2014;15700;;25/04/2014;15700;14/07/2015;11550;18/10/2016;10050;22/12/2017;9825;15/02/2019;12025
28/04/2014;15425;;28/04/2014;15425;15/07/2015;11575;19/10/2016;9975;25/12/2017;9825;18/02/2019;12500
29/04/2014;14975;;29/04/2014;14975;22/07/2015;11600;20/10/2016;9900;26/12/2017;9825;19/02/2019;12475
30/04/2014;14850;;30/04/2014;14850;23/07/2015;11500;21/10/2016;10000;27/12/2017;10000;20/02/2019;12900
02/05/2014;14600;;02/05/2014;14600;24/07/2015;11225;24/10/2016;9975;28/12/2017;10200;21/02/2019;12925
05/05/2014;14675;;05/05/2014;14675;27/07/2015;10250;25/10/2016;10150;29/12/2017;9900;22/02/2019;12575
06/05/2014;14525;;06/05/2014;14525;28/07/2015;10100;26/10/2016;10075;01/01/2018;9900;25/02/2019;12950
07/05/2014;14275;;07/05/2014;14275;29/07/2015;10275;27/10/2016;10075;02/01/2018;10275;26/02/2019;12925
08/05/2014;14700;;08/05/2014;14700;30/07/2015;9925;28/10/2016;9975;03/01/2018;10200;27/02/2019;12600
09/05/2014;14800;;09/05/2014;14800;31/07/2015;10100;31/10/2016;9850;04/01/2018;11000;28/02/2019;12650
12/05/2014;15600;;12/05/2014;15600;03/08/2015;9850;01/11/2016;9500;05/01/2018;10900;01/03/2019;12875
13/05/2014;15600;;13/05/2014;15600;04/08/2015;9950;02/11/2016;9450;08/01/2018;11000;04/03/2019;12900
14/05/2014;15950;;14/05/2014;15950;05/08/2015;10200;03/11/2016;9275;09/01/2018;11200;05/03/2019;12850
16/05/2014;15950;;16/05/2014;15950;06/08/2015;9875;04/11/2016;9275;10/01/2018;10825;06/03/2019;12700
19/05/2014;15275;;19/05/2014;15275;07/08/2015;9950;07/11/2016;9300;11/01/2018;10850;07/03/2019;12700
20/05/2014;14850;;20/05/2014;14850;10/08/2015;9700;08/11/2016;9400;12/01/2018;10575;08/03/2019;12475
21/05/2014;14975;;21/05/2014;14975;11/08/2015;9050;09/11/2016;9225;15/01/2018;10525;11/03/2019;12650
22/05/2014;14950;;22/05/2014;14950;12/08/2015;8650;10/11/2016;9275;16/01/2018;10625;12/03/2019;12600
23/05/2014;15025;;23/05/2014;15025;13/08/2015;8850;11/11/2016;8850;17/01/2018;11400;13/03/2019;12725
26/05/2014;15000;;26/05/2014;15000;14/08/2015;8725;14/11/2016;8425;18/01/2018;11075;14/03/2019;12875
28/05/2014;15225;;28/05/2014;15225;18/08/2015;8225;15/11/2016;8200;19/01/2018;10950;15/03/2019;12925
30/05/2014;14725;;30/05/2014;14725;19/08/2015;8250;16/11/2016;8450;22/01/2018;10750;18/03/2019;13250
02/06/2014;14850;;02/06/2014;14850;20/08/2015;8075;17/11/2016;8350;23/01/2018;10650;19/03/2019;13225
03/06/2014;15050;;03/06/2014;15050;21/08/2015;7975;18/11/2016;8425;24/01/2018;10725;20/03/2019;12800
04/06/2014;15100;;04/06/2014;15100;24/08/2015;7200;21/11/2016;8475;25/01/2018;11100;21/03/2019;13575
05/06/2014;15200;;05/06/2014;15200;25/08/2015;7700;22/11/2016;8425;26/01/2018;11600;22/03/2019;13650
06/06/2014;15325;;06/06/2014;15325;26/08/2015;8675;23/11/2016;8400;29/01/2018;11200;25/03/2019;13400
09/06/2014;15000;;09/06/2014;15000;27/08/2015;8950;24/11/2016;8050;30/01/2018;10900;26/03/2019;13875
10/06/2014;15250;;10/06/2014;15250;28/08/2015;9350;25/11/2016;8200;31/01/2018;11150;27/03/2019;13875
11/06/2014;15350;;11/06/2014;15350;31/08/2015;9250;28/11/2016;8675;01/02/2018;10700;28/03/2019;13750
12/06/2014;15400;;12/06/2014;15400;01/09/2015;9025;29/11/2016;8700;02/02/2018;10700;29/03/2019;13875
13/06/2014;15425;;13/06/2014;15425;02/09/2015;9025;30/11/2016;8875;05/02/2018;10550;01/04/2019;13950
16/06/2014;15375;;16/06/2014;15375;03/09/2015;9225;01/12/2016;9250;06/02/2018;10175;02/04/2019;13725
17/06/2014;15425;;17/06/2014;15425;04/09/2015;9050;02/12/2016;9250;07/02/2018;10175;03/04/2019;13725
18/06/2014;15200;;18/06/2014;15200;07/09/2015;8375;05/12/2016;9225;08/02/2018;10300;04/04/2019;14450
19/06/2014;15000;;19/06/2014;15000;08/09/2015;8800;06/12/2016;9225;09/02/2018;10200;05/04/2019;13575
20/06/2014;14925;;20/06/2014;14925;09/09/2015;9250;07/12/2016;9250;12/02/2018;10275;08/04/2019;13450
23/06/2014;15000;;23/06/2014;15000;10/09/2015;10300;08/12/2016;9200;13/02/2018;10525;09/04/2019;14075
24/06/2014;15000;;24/06/2014;15000;11/09/2015;10300;09/12/2016;9300;14/02/2018;10850;10/04/2019;14250
25/06/2014;15000;;25/06/2014;15000;14/09/2015;10200;13/12/2016;9300;15/02/2018;11050;11/04/2019;13825
26/06/2014;15100;;26/06/2014;15100;15/09/2015;10000;14/12/2016;9300;16/02/2018;11050;12/04/2019;13050
27/06/2014;14975;;27/06/2014;14975;16/09/2015;9700;15/12/2016;8975;19/02/2018;11700;15/04/2019;12825
30/06/2014;15075;;30/06/2014;15075;17/09/2015;9700;16/12/2016;9175;20/02/2018;11300;16/04/2019;13325
01/07/2014;15075;;01/07/2014;15075;18/09/2015;9775;19/12/2016;9100;21/02/2018;11575;17/04/2019;13325
02/07/2014;15075;;02/07/2014;15075;21/09/2015;9750;20/12/2016;8925;22/02/2018;11750;18/04/2019;13725
03/07/2014;15025;;03/07/2014;15025;22/09/2015;9475;21/12/2016;9125;23/02/2018;11225;19/04/2019;13725
04/07/2014;15125;;04/07/2014;15125;23/09/2015;9475;22/12/2016;8925;26/02/2018;11100;22/04/2019;13175
07/07/2014;15925;;07/07/2014;15925;25/09/2015;9475;23/12/2016;9050;27/02/2018;11325;23/04/2019;13725
08/07/2014;16200;;08/07/2014;16200;28/09/2015;9150;27/12/2016;9075;28/02/2018;11125;24/04/2019;13450
09/07/2014;16200;;09/07/2014;16200;29/09/2015;9100;28/12/2016;9325;01/03/2018;11050;25/04/2019;13350
10/07/2014;16725;;10/07/2014;16725;30/09/2015;9050;29/12/2016;9400;02/03/2018;10975;26/04/2019;13700
11/07/2014;16650;;11/07/2014;16650;01/10/2015;9200;30/12/2016;9175;05/03/2018;10850;29/04/2019;13525
14/07/2014;16650;;14/07/2014;16650;02/10/2015;9100;02/01/2017;9175;06/03/2018;10700;30/04/2019;13500
15/07/2014;16925;;15/07/2014;16925;05/10/2015;10050;03/01/2017;9100;07/03/2018;10475;01/05/2019;13500
16/07/2014;17050;;16/07/2014;17050;06/10/2015;10075;04/01/2017;9450;08/03/2018;10725;02/05/2019;12900
17/07/2014;16550;;17/07/2014;16550;07/10/2015;10750;05/01/2017;9500;09/03/2018;10550;03/05/2019;12250
18/07/2014;16700;;18/07/2014;16700;08/10/2015;10450;06/01/2017;9400;12/03/2018;10700;06/05/2019;11150
21/07/2014;16975;;21/07/2014;16975;09/10/2015;10550;09/01/2017;9125;13/03/2018;10525;07/05/2019;11900
22/07/2014;16625;;22/07/2014;16625;12/10/2015;10600;10/01/2017;9125;14/03/2018;10475;08/05/2019;11325
23/07/2014;16875;;23/07/2014;16875;13/10/2015;10150;11/01/2017;8850;15/03/2018;10500;09/05/2019;10900
24/07/2014;16650;;24/07/2014;16650;15/10/2015;10150;12/01/2017;8700;16/03/2018;10525;10/05/2019;11150
25/07/2014;16575;;25/07/2014;16575;16/10/2015;10400;13/01/2017;8775;19/03/2018;10475;13/05/2019;10475
04/08/2014;16725;;04/08/2014;16725;19/10/2015;10625;16/01/2017;8700;20/03/2018;10450;14/05/2019;10675
05/08/2014;16500;;05/08/2014;16500;20/10/2015;10575;17/01/2017;8625;21/03/2018;10250;15/05/2019;10550
06/08/2014;16400;;06/08/2014;16400;21/10/2015;11250;18/01/2017;8750;22/03/2018;10025;16/05/2019;10700
07/08/2014;16350;;07/08/2014;16350;22/10/2015;10725;19/01/2017;8725;23/03/2018;9650;17/05/2019;10550
08/08/2014;16250;;08/08/2014;16250;23/10/2015;10850;20/01/2017;8625;26/03/2018;9850;20/05/2019;11250
11/08/2014;16575;;11/08/2014;16575;26/10/2015;10700;23/01/2017;8600;27/03/2018;9900;21/05/2019;10825
12/08/2014;16650;;12/08/2014;16650;27/10/2015;10325;24/01/2017;8700;28/03/2018;9875;22/05/2019;10825
13/08/2014;16725;;13/08/2014;16725;28/10/2015;10325;25/01/2017;9025;29/03/2018;10350;23/05/2019;10900
14/08/2014;16450;;14/08/2014;16450;29/10/2015;9800;26/01/2017;9200;30/03/2018;10350;24/05/2019;10800
15/08/2014;16475;;15/08/2014;16475;30/10/2015;9800;27/01/2017;9225;02/04/2018;10625;27/05/2019;11375
18/08/2014;16650;;18/08/2014;16650;02/11/2015;9750;30/01/2017;9100;03/04/2018;10900;28/05/2019;11050
19/08/2014;16675;;19/08/2014;16675;03/11/2015;10200;31/01/2017;9025;04/04/2018;10650;29/05/2019;11200
20/08/2014;16600;;20/08/2014;16600;04/11/2015;10600;01/02/2017;9025;05/04/2018;11000;30/05/2019;11200
21/08/2014;16650;;21/08/2014;16650;05/11/2015;10650;02/02/2017;9300;06/04/2018;10550;31/05/2019;11550
22/08/2014;16800;;22/08/2014;16800;06/11/2015;10675;03/02/2017;9200;09/04/2018;10325;03/06/2019;11550
25/08/2014;16775;;25/08/2014;16775;09/11/2015;10250;06/02/2017;9275;10/04/2018;10250;04/06/2019;11550
26/08/2014;16450;;26/08/2014;16450;10/11/2015;9950;07/02/2017;9150;11/04/2018;10250;05/06/2019;11550
27/08/2014;16250;;27/08/2014;16250;11/11/2015;10500;08/02/2017;9250;12/04/2018;10200;06/06/2019;11550
28/08/2014;16400;;28/08/2014;16400;12/11/2015;10150;09/02/2017;9625;13/04/2018;10125;07/06/2019;11550
29/08/2014;16225;;29/08/2014;16225;13/11/2015;10675;10/02/2017;9750;16/04/2018;10125;10/06/2019;12175
01/09/2014;16250;;01/09/2014;16250;16/11/2015;10800;13/02/2017;9825;17/04/2018;10125;11/06/2019;11975
02/09/2014;16275;;02/09/2014;16275;17/11/2015;11100;14/02/2017;9350;18/04/2018;9925;12/06/2019;11600
03/09/2014;16425;;03/09/2014;16425;18/11/2015;11500;15/02/2017;9350;19/04/2018;9925;13/06/2019;11475
04/09/2014;16250;;04/09/2014;16250;19/11/2015;11400;16/02/2017;9500;20/04/2018;9925;14/06/2019;11450
05/09/2014;16375;;05/09/2014;16375;20/11/2015;11400;17/02/2017;9275;23/04/2018;10100;17/06/2019;11600
08/09/2014;16300;;08/09/2014;16300;23/11/2015;11400;20/02/2017;9200;24/04/2018;9900;18/06/2019;11450
09/09/2014;15925;;09/09/2014;15925;24/11/2015;10925;21/02/2017;9150;25/04/2018;9900;19/06/2019;11600
10/09/2014;15825;;10/09/2014;15825;25/11/2015;11050;22/02/2017;9225;26/04/2018;9900;20/06/2019;11425
11/09/2014;15700;;11/09/2014;15700;26/11/2015;11175;23/02/2017;9250;27/04/2018;9900;21/06/2019;11375
12/09/2014;15775;;12/09/2014;15775;27/11/2015;11025;24/02/2017;9575;30/04/2018;9650;24/06/2019;11300
15/09/2014;16175;;15/09/2014;16175;30/11/2015;10625;27/02/2017;9525;01/05/2018;9650;25/06/2019;11450
16/09/2014;16175;;16/09/2014;16175;01/12/2015;11025;28/02/2017;9625;02/05/2018;9275;26/06/2019;11450
17/09/2014;16375;;17/09/2014;16375;02/12/2015;11175;01/03/2017;9400;03/05/2018;9000;27/06/2019;11625
18/09/2014;16425;;18/09/2014;16425;03/12/2015;11075;02/03/2017;9425;04/05/2018;9000;28/06/2019;11575
19/09/2014;16325;;19/09/2014;16325;04/12/2015;10950;03/03/2017;9425;07/05/2018;9125;01/07/2019;12475
22/09/2014;16275;;22/09/2014;16275;07/12/2015;11000;06/03/2017;9500;08/05/2018;8975;02/07/2019;12700
23/09/2014;16125;;23/09/2014;16125;08/12/2015;10975;07/03/2017;9350;09/05/2018;8950;03/07/2019;12700
24/09/2014;15975;;24/09/2014;15975;09/12/2015;10975;08/03/2017;9325;10/05/2018;8950;04/07/2019;12575
25/09/2014;15950;;25/09/2014;15950;10/12/2015;11200;09/03/2017;9250;11/05/2018;9200;05/07/2019;12600
26/09/2014;15125;;26/09/2014;15125;11/12/2015;10750;10/03/2017;9425;14/05/2018;9000;08/07/2019;12225
29/09/2014;15250;;29/09/2014;15250;14/12/2015;10450;13/03/2017;9400;15/05/2018;8900;09/07/2019;12425
30/09/2014;15425;;30/09/2014;15425;15/12/2015;10400;14/03/2017;9200;16/05/2018;8700;10/07/2019;12550
01/10/2014;15150;;01/10/2014;15150;16/12/2015;10550;15/03/2017;9050;17/05/2018;8700;11/07/2019;12425
02/10/2014;14700;;02/10/2014;14700;17/12/2015;10800;16/03/2017;9175;18/05/2018;8700;12/07/2019;12400
03/10/2014;14625;;03/10/2014;14625;18/12/2015;10475;17/03/2017;9225;21/05/2018;8350;15/07/2019;12500
06/10/2014;15050;;06/10/2014;15050;21/12/2015;10900;20/03/2017;9350;22/05/2018;8375;16/07/2019;12350
07/10/2014;15400;;07/10/2014;15400;22/12/2015;10975;21/03/2017;9150;23/05/2018;8300;17/07/2019;12500
08/10/2014;14750;;08/10/2014;14750;23/12/2015;11200;22/03/2017;9225;24/05/2018;8525;18/07/2019;12550
09/10/2014;14825;;09/10/2014;14825;28/12/2015;11050;23/03/2017;9075;25/05/2018;8775;19/07/2019;12575
10/10/2014;14850;;10/10/2014;14850;29/12/2015;11175;24/03/2017;8950;28/05/2018;8750;22/07/2019;12450
13/10/2014;15100;;13/10/2014;15100;30/12/2015;11400;27/03/2017;8775;29/05/2018;8750;23/07/2019;12525
14/10/2014;15100;;14/10/2014;15100;04/01/2016;11125;29/03/2017;9075;30/05/2018;8400;24/07/2019;12600
15/10/2014;15625;;15/10/2014;15625;05/01/2016;11150;30/03/2017;8850;31/05/2018;8400;25/07/2019;12475
16/10/2014;15500;;16/10/2014;15500;06/01/2016;11450;31/03/2017;9000;01/06/2018;8400;26/07/2019;12400
17/10/2014;16000;;17/10/2014;16000;07/01/2016;11050;03/04/2017;9050;04/06/2018;8675;29/07/2019;12550
20/10/2014;16000;;20/10/2014;16000;08/01/2016;10975;04/04/2017;9125;05/06/2018;8800;30/07/2019;12650
21/10/2014;15700;;21/10/2014;15700;11/01/2016;10700;05/04/2017;9125;06/06/2018;8700;31/07/2019;12875
22/10/2014;16100;;22/10/2014;16100;12/01/2016;10825;06/04/2017;9150;07/06/2018;8725;01/08/2019;13050
23/10/2014;16100;;23/10/2014;16100;13/01/2016;10900;07/04/2017;9175;08/06/2018;8275;02/08/2019;12950
24/10/2014;15900;;24/10/2014;15900;14/01/2016;10600;10/04/2017;8975;11/06/2018;8275;05/08/2019;12400
27/10/2014;15800;;27/10/2014;15800;15/01/2016;10600;11/04/2017;8800;12/06/2018;8275;06/08/2019;12575
28/10/2014;15575;;28/10/2014;15575;18/01/2016;10450;12/04/2017;8975;13/06/2018;8275;07/08/2019;12725
29/10/2014;16025;;29/10/2014;16025;19/01/2016;10575;13/04/2017;8875;14/06/2018;8275;08/08/2019;12900
30/10/2014;15700;;30/10/2014;15700;20/01/2016;10200;17/04/2017;8800;15/06/2018;8275;09/08/2019;12800
31/10/2014;15875;;31/10/2014;15875;21/01/2016;10075;18/04/2017;8750;18/06/2018;8275;12/08/2019;12800
03/11/2014;15775;;03/11/2014;15775;22/01/2016;10350;19/04/2017;8750;19/06/2018;8275;13/08/2019;12400
04/11/2014;15700;;04/11/2014;15700;25/01/2016;10300;20/04/2017;8675;20/06/2018;8175;14/08/2019;12850
05/11/2014;15600;;05/11/2014;15600;26/01/2016;10050;21/04/2017;8700;21/06/2018;7775;15/08/2019;12950
06/11/2014;15375;;06/11/2014;15375;27/01/2016;10575;25/04/2017;8975;22/06/2018;7625;16/08/2019;12900
07/11/2014;15300;;07/11/2014;15300;28/01/2016;10700;26/04/2017;9000;25/06/2018;7650;20/08/2019;13225
10/11/2014;15200;;10/11/2014;15200;29/01/2016;11050;27/04/2017;8825;26/06/2018;7600;21/08/2019;12975
11/11/2014;15300;;11/11/2014;15300;01/02/2016;10975;28/04/2017;8825;27/06/2018;7650;22/08/2019;13025
12/11/2014;15475;;12/11/2014;15475;02/02/2016;10800;02/05/2017;8800;28/06/2018;7075;23/08/2019;13075
13/11/2014;15600;;13/11/2014;15600;03/02/2016;10475;03/05/2017;8725;29/06/2018;7125;26/08/2019;12875
14/11/2014;15975;;14/11/2014;15975;04/02/2016;10625;04/05/2017;8650;02/07/2018;6950;27/08/2019;12900
17/11/2014;15850;;17/11/2014;15850;05/02/2016;10825;05/05/2017;8800;03/07/2018;6725;28/08/2019;12950
18/11/2014;15950;;18/11/2014;15950;09/02/2016;10700;08/05/2017;8750;04/07/2018;6925;29/08/2019;13100
19/11/2014;16075;;19/11/2014;16075;10/02/2016;10750;09/05/2017;8750;05/07/2018;6850;30/08/2019;13250
20/11/2014;16000;;20/11/2014;16000;11/02/2016;10975;10/05/2017;8650;06/07/2018;6950;02/09/2019;13275
21/11/2014;16100;;21/11/2014;16100;12/02/2016;10875;12/05/2017;8850;09/07/2018;7050;03/09/2019;13300
24/11/2014;16300;;24/11/2014;16300;15/02/2016;10750;15/05/2017;8900;10/07/2018;7575;04/09/2019;13350
25/11/2014;16075;;25/11/2014;16075;16/02/2016;10700;16/05/2017;9200;11/07/2018;7575;05/09/2019;13425
26/11/2014;16000;;26/11/2014;16000;17/02/2016;10575;17/05/2017;9100;12/07/2018;7425;06/09/2019;13450
27/11/2014;16050;;27/11/2014;16050;18/02/2016;10475;18/05/2017;9200;13/07/2018;7250;09/09/2019;13425
28/11/2014;16000;;28/11/2014;16000;19/02/2016;10175;19/05/2017;9200;16/07/2018;7050;10/09/2019;12850
01/12/2014;16675;;01/12/2014;16675;22/02/2016;10125;22/05/2017;9400;17/07/2018;7100;11/09/2019;12175
02/12/2014;16500;;02/12/2014;16500;23/02/2016;10100;23/05/2017;9350;18/07/2018;7075;12/09/2019;12475
03/12/2014;16575;;03/12/2014;16575;24/02/2016;10100;24/05/2017;9250;19/07/2018;6925;13/09/2019;12800
04/12/2014;16500;;04/12/2014;16500;25/02/2016;10200;26/05/2017;9250;20/07/2018;7225;16/09/2019;12900
05/12/2014;16550;;05/12/2014;16550;26/02/2016;10250;29/05/2017;9350;23/07/2018;7400;17/09/2019;12725
08/12/2014;16625;;08/12/2014;16625;29/02/2016;10250;30/05/2017;9200;24/07/2018;7625;18/09/2019;12825
09/12/2014;16475;;09/12/2014;16475;01/03/2016;10250;31/05/2017;9450;25/07/2018;7675;19/09/2019;12450
10/12/2014;16550;;10/12/2014;16550;02/03/2016;10400;01/06/2017;9450;26/07/2018;7625;20/09/2019;12850
11/12/2014;16375;;11/12/2014;16375;03/03/2016;10375;02/06/2017;9325;27/07/2018;7725;23/09/2019;12500
