,I,Z,C,O,F,I_in,C_bar,h,W
20,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.24160444433242492]","[0.30335245187058435, 0.8783210500219065, -0.1612033485028111, 0.938285604402558]",[0.38218149134769164],[0.718595562860448],[0.45987364584732293],[0.7065001380967487],[0.29454887585160433],[0.262060308586948],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
21,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.25297991161595934]","[0.30655451066734674, 0.8773382873990856, -0.16033917692337685, 0.9402934204110133]",[0.3858565425877409],[0.7190755157737478],[0.46004716536289314],[0.7062840962978938],[0.29738991740901277],[0.2644952672470067],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
22,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.25971745167908095]","[0.2962756033308116, 0.8829573776818346, -0.1590474459901573, 0.9216824426395342]",[0.381330990672343],[0.7153403943804559],[0.46034619655423],[0.7074419313290349],[0.2879486931720157],[0.26030254974613054],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
23,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.2577783652412562]","[0.295713438666054, 0.8825822271489633, -0.16010301479847883, 0.92403421147185]",[0.37874087614872276],[0.7158399152013053],[0.46007246721212064],[0.7073608710220723],[0.2874104095093065],[11138.67020651855],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
24,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.24317824210062652]","[0.29913789004271363, 0.8807079084249292, -0.1605367326846065, 0.9302450281828964]",[0.3810327399605445],[0.7169661130867575],[0.46003959714197223],[0.7069949361025883],[0.2906959235538749],[0.2607521947733248],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
25,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.25160847143189696]","[0.3037039985266372, 0.8785556574852194, -0.16054331126508742, 0.9368150382941844]",[0.3835469484877319],[0.7183717442063341],[0.4599967809890654],[0.7065366683423685],[0.294789941818442],[0.26280077222817044],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
26,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.25797887761398014]","[0.3067045559801883, 0.8774384213347145, -0.16005746326712053, 0.9396657610435126]",[0.38657740428358334],[0.7189876789800089],[0.4600955167622876],[0.7062984457149096],[0.2974843972916441],[0.2648962290649215],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
27,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.26235237509739806]","[0.29635619922480777, 0.8830111639941727, -0.15889612527545505, 0.9213452993666738]",[0.3817132745129068],[0.715292454140733],[0.4603723811552886],[0.7074496836573688],[0.28800016504058423],[11166.771983961933],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
28,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.24805976185298248]","[0.3096365285841438, 0.8762753273129958, -0.15969983756892664, 0.9428024246791462]",[0.39049107527564925],[0.719504740371949],[0.46024895525963133],[0.7060763063033844],[0.30028064565418433],[0.2675612676963792],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
29,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.25830636623935316]","[0.30021142570046866, 0.8814243410039492, -0.15852114386320165, 0.9257542866917086]",[0.38601267384674043],[0.7161275825739123],[0.46049969232710564],[0.7071312835324147],[0.2915987125325874],[0.2635084617568118],"[[0.12068548652101156, 0.8490505572444711, 0.6062226493166136, 0.13997921622261572], [0.9266694160284205, 0.8602800772612186, -0.3046435149139432, 0.09341624580713863], [-0.22093356855277974, -0.24878484034771398, -0.03204153408007989, 0.26281431958890655], [0.8572179172925407, -0.3243835823751684, 0.9655447732716426, -0.5855515554177327]]"
