,I,Z,C,O,F,I_in,C_bar,h,W
22,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.31438542312821566]","[0.37596097270753465, 0.8896223886534739, -0.14592379684353388, 0.8929038108210172]",[0.4783365142218568],[0.7094395135657175],[0.46361049022211887],[0.7088201241682824],[0.3592452674916474],[0.3156554985100868],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
23,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.3128460250808461]","[0.37541547485517196, 0.8892637036522595, -0.1469380083634237, 0.8951746235721807]",[0.4758916215941451],[0.709930766774518],[0.46334560992639606],[0.7087423633292008],[0.3587461669469901],[12086.742819563871],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
24,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.29629164237532235]","[0.37880850061187304, 0.8873580630963123, -0.1474305062536909, 0.9014660391686504]",[0.4780011869819828],[0.7110724529037888],[0.4633058840987101],[0.7083731555465083],[0.3618545348444065],[0.3162391113732055],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
25,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.3059899484704567]","[0.3833983461051578, 0.8852053048395504, -0.14739866646532987, 0.9078803556468489]",[0.4803558579506829],[0.71247216478949],[0.46326818466949987],[0.7079148151960261],[0.36575123355771116],[0.31817445059843796],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
26,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.31279617701052986]","[0.3863837977863017, 0.8840659111948076, -0.14694914057247516, 0.9107651975673408]",[0.48319954131573106],[0.7131071922274939],[0.46335571844910717],[0.7076720283964922],[0.36828913111834627],[0.3200627768582847],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
27,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.31723778374383615]","[0.37603596232648434, 0.8896716991535789, -0.14578438557071194, 0.8925916639244429]",[0.4786969696697777],[0.7093984303718797],[0.463632554499048],[0.7088265998215539],[0.35928682262230566],[12109.962913298888],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
28,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.3009534201506803]","[0.38924989341174115, 0.8828479436229936, -0.1467209635400225, 0.9141459093911539]",[0.48683447095496796],[0.7136685363208811],[0.46348340494968365],[0.7074408972123819],[0.3708962889921734],[0.3224316843341783],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
29,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.31211471496168747]","[0.3798357875936127, 0.8880335703935949, -0.1455207034345319, 0.8971899213841812]",[0.4827004001402984],[0.7102766292639666],[0.46373548595465364],[0.7084993673880348],[0.3626618261896158],[0.3185261768424772],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
30,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.3131088930460764]","[0.38377251024489434, 0.8854513418392069, -0.14670306753182932, 0.906322884403975]",[0.48282180843917416],[0.7121971606499778],[0.4634170918742903],[0.7079586076162373],[0.3660302096480609],[0.3194396920561907],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
31,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.3165800036925403]","[0.3865893219856754, 0.8842010565815525, -0.1465670558168553, 0.9099096959405288]",[0.48450171759352034],[0.7129552829461985],[0.463438097316598],[0.7076962673612212],[0.36844314130810224],[12193.393415957093],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
32,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.2999762066046388]","[0.39176661114060163, 0.8814002973612696, -0.14714266791657077, 0.9189815547448104]",[0.4876716258439103],[0.7146560847438166],[0.463378309000047],[0.7071411215071872],[0.3730643324896302],[0.3233536149685374],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
33,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.31306025694823436]","[0.3897204964598872, 0.883157395410855, -0.14584607751106476, 0.9121870078384494]",[0.4887350408559098],[0.7133532535694369],[0.46365444724839927],[0.7074912412158952],[0.3712152891642522],[0.3233355236141324],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
34,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.3179469769142728]","[0.3800161429776183, 0.8881521656646005, -0.14518540937654506, 0.8964391858265617]",[0.4836987734704325],[0.7101673077456992],[0.4637943477945918],[0.708516654225211],[0.3627723708574894],[0.31902650196458104],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
35,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.3161859503988411]","[0.38387092142393153, 0.8855160535222668, -0.14652011383874947, 0.9059132444490725]",[0.4833488554242834],[0.7121368939427816],[0.4634496716975602],[0.7079681873409682],[0.3660912305426396],[12175.944849044878],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
36,"[1.0, 0.000989945202273176, 0.27712609970674484, 0.3004112687055002]","[0.4060134960455245, 0.8742216717445856, -0.14785954712087307, 0.9413407986707085]",[0.4967879779465757],[0.719194026731353],[0.46319986083523107],[0.705652216562136],[0.3852623603414307],[0.3305996030476949],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
37,"[1.0, 0.0009899947069589925, 0.2536656891495601, 0.3202984117445071]","[0.39340131038706855, 0.8824752173101048, -0.14410364057087924, 0.9121770622862]",[0.4953664949223858],[0.7133512131528691],[0.4640877854003842],[0.7073500472341852],[0.374384545460432],[0.3270820551965503],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
38,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.3217123899272599]","[0.3902986281352491, 0.8835375541906693, -0.14477128777550172, 0.9097805146357479]",[0.4927734879748956],[0.7129058373897239],[0.46389722399859085],[0.7075626915070194],[0.37166793484487776],[0.325399507246369],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
39,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.3225648157894421]","[0.3803345332634433, 0.8883615277662155, -0.1445934981810662, 0.8951138751900802]",[0.48583307719977953],[0.7099180547568442],[0.4639287467375282],[0.7085561272722232],[0.36302476926736554],[12182.943789814544],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
40,"[1.0, 0.0009898956975873594, 0.2595307917888563, 0.3062191607786662]","[0.3962240431306402, 0.8801946022791133, -0.14565653651274824, 0.9208426603242619]",[0.4955537856261701],[0.7150336056491147],[0.46374888126483566],[0.7068916671507982],[0.37689687657664056],[0.3279919389720256],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
41,"[1.0, 0.000989945202273176, 0.27712609970674484, 0.31754731685558757]","[0.40722123371307717, 0.875015836979945, -0.14561427307058722, 0.9363135486315328]",[0.502373090990919],[0.718259909954326],[0.4637127801067149],[0.7058037283542182],[0.3862067618003047],[0.3332950659486936],"[[0.19269683460927828, 0.8493841365951754, 0.604793085055773, 0.1408342048738538], [0.9291132017162012, 0.8603136091114916, -0.30761929220090645, 0.09260755250512005], [-0.2212863392894248, -0.24875356511019053, -0.03517205119983878, 0.2618212498387068], [0.8614609150965741, -0.3243493756093128, 0.9633942332240136, -0.5862272751698608]]"
