,I,Z,C,O,F,I_in,C_bar,h,W
20,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.2407764907026501]","[0.3025067927056926, 0.8746779642120923, -0.1665895407917886, 0.937288551216651]",[0.3798471656768081],[0.7184043408868662],[0.45852965403849105],[0.7057420886205734],[0.29375633081203645],[0.2605290191065208],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
21,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.25186772851000117]","[0.3056286579937141, 0.8736699114932998, -0.16576366337300527, 0.9393249431195718]",[0.3834401025361812],[0.7188859744160143],[0.4586962657237279],[0.7055213365564846],[0.29653448014310746],[0.2629185130178082],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
22,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.2583966452047415]","[0.2954907678402453, 0.8793373543010612, -0.16443799642332105, 0.920789462006795]",[0.3789756138597651],[0.7151621137402993],[0.4590051771218497],[0.7066914610268222],[0.28722246988077405],[0.25877297846131647],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
23,"[1.0, 0.0009903907444455248, 0.22727272727272727, 0.2564029995839914]","[0.29496237142842774, 0.8789696343508401, -0.1654792568246773, 0.9231264166282371]",[0.3764463909586253],[0.7156572931450114],[0.4587360362648181],[0.7066121115250079],[0.28671772251076627],[11113.168792842744],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
24,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.24231121931234725]","[0.29834550591505826, 0.8770831087233498, -0.16591323490797366, 0.9292873153859844]",[0.3786955252518277],[0.7167822588804749],[0.4586979067988876],[0.7062414169804251],[0.28995012839546386],[0.25922400038130233],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
25,"[1.0, 0.000990242230388075, 0.2404692082111437, 0.25050353843533474]","[0.30283074372876784, 0.8749034153522315, -0.16595121974655347, 0.9358559074626622]",[0.38116811216691343],[0.7181838579392767],[0.4586499886568943],[0.7057776317432986],[0.2939810266387013],[0.26124732963564323],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
26,"[1.0, 0.0009902917350738916, 0.24486803519061584, 0.2566845800979195]","[0.305764987204582, 0.8737647887242239, -0.16549503695055656, 0.9387220396603324]",[0.384131933867896],[0.7188005683808821],[0.4587429074848416],[0.705535118174911],[0.29662141177972384],[0.26330468903272936],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
27,"[1.0, 0.0009903412397597082, 0.22727272727272727, 0.2609163580162881]","[0.2955634727265618, 0.8793879526889229, -0.1642947369312326, 0.9204679313004643]",[0.37933958273906976],[0.7151158358035758],[0.4590302548810365],[0.7066988531025133],[0.2872694849974745],[11140.53137621275],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
28,"[1.0, 0.000990044211644809, 0.24926686217008798, 0.24711811239749354]","[0.30863913056863757, 0.8725842558998661, -0.16515670601775478, 0.9418529400320772]",[0.387935165365614],[0.7193237279023744],[0.4588871088270591],[0.7053076002030974],[0.2993524912403218],[0.2659016668640762],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
29,"[1.0, 0.0009901927257022587, 0.23313782991202345, 0.2570751473209092]","[0.29934220388667226, 0.8777767527561473, -0.1639493167669382, 0.9248795098168239]",[0.38352129842216787],[0.7159560142867548],[0.4591476055701329],[0.706374097631842],[0.29079170346167504],[0.26189804082519236],"[[0.12422885032843461, 0.8491434514548766, 0.5965471876713351, 0.13269378084966715], [0.9242185883943709, 0.8602933655701321, -0.30791762953089863, 0.09234718229301164], [-0.2248462168729172, -0.24877223611309562, -0.03519594655001499, 0.2614630819316789], [0.8562586132492651, -0.3243709624918471, 0.9633269814628954, -0.5868261026708074]]"
