0,1,2,3
413,0,2017-01-18,886.617981
414,0,2017-01-19,899.072998
415,0,2017-01-20,895.026001
416,0,2017-01-21,921.789001
417,0,2017-01-22,924.672974
418,0,2017-01-23,921.012024
419,0,2017-01-24,892.687012
420,0,2017-01-25,901.541992
421,0,2017-01-26,917.585999
422,0,2017-01-27,919.75
423,0,2017-01-28,921.590027
424,0,2017-01-29,919.495972
425,0,2017-01-30,920.382019
426,0,2017-01-31,970.403015
427,0,2017-02-01,989.02301
428,0,2017-02-02,1011.799988
429,0,2017-02-03,1029.910034
430,0,2017-02-04,1042.900024
431,0,2017-02-05,1027.339966
432,0,2017-02-06,1038.150024
433,0,2017-02-07,1061.349976
434,0,2017-02-08,1063.069946
435,0,2017-02-09,994.382996
436,0,2017-02-10,988.674011
437,0,2017-02-11,1004.450012
438,0,2017-02-12,999.18103
439,0,2017-02-13,990.642029
440,0,2017-02-14,1004.549988
441,0,2017-02-15,1007.47998
442,0,2017-02-16,1027.439941
443,0,2017-02-17,1046.209961
444,0,2017-02-18,1054.420044
445,0,2017-02-19,1047.869995
446,0,2017-02-20,1079.97998
447,0,2017-02-21,1115.300049
448,0,2017-02-22,1117.439941
449,0,2017-02-23,1166.719971
450,0,2017-02-24,1173.680054
451,0,2017-02-25,1143.839966
452,0,2017-02-26,1165.199951
453,0,2017-02-27,1179.969971
454,0,2017-02-28,1179.969971
455,0,2017-03-01,1222.5
456,0,2017-03-02,1251.01001
457,0,2017-03-03,1274.98999
458,0,2017-03-04,1255.150024
459,0,2017-03-05,1267.119995
460,0,2017-03-06,1272.829956
461,0,2017-03-07,1223.540039
462,0,2017-03-08,1150
463,0,2017-03-09,1188.48999
464,0,2017-03-10,1116.719971
465,0,2017-03-11,1175.829956
466,0,2017-03-12,1221.380005
467,0,2017-03-13,1231.920044
468,0,2017-03-14,1240
469,0,2017-03-15,1249.609985
470,0,2017-03-16,1187.810059
471,0,2017-03-17,1100.22998
472,0,2017-03-18,973.817993
473,0,2017-03-19,1036.73999
474,0,2017-03-20,1054.22998
475,0,2017-03-21,1120.540039
476,0,2017-03-22,1049.140015
477,0,2017-03-23,1038.589966
478,0,2017-03-24,937.52002
479,0,2017-03-25,972.778992
480,0,2017-03-26,966.724976
